query,completion
What undergraduate programs are offered at CUI Attock Campus?,"The undergraduate programs listed are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
How can I contact the CUI Attock Campus admissions office?,"You can call the campus at +92-57-9316330-1 or +92-57-9049158. The address is Near Officers Colony, University Road Attock."
Which campuses are part of CUI?,"CUI has campuses in Islamabad, Abbottabad, Wah, Lahore, Sahiwal, Vehari, and a Virtual Campus."
What graduate degrees are available in the Department of Computer Engineering?,The graduate degrees available are Master of Science in Computer Engineering and PhD in Computer Engineering.
What degree programs does the Department of Computer Science at COMSATS University Islamabad Attock offer?,"The Department of Computer Science offers a Bachelor of Computer Science (BCS), a Master of Science in Computer Science, and a PhD in Computer Science."
What is the mission of the Computer Science Department at CUI Attock?,"The mission is to provide degree programs and courses that meet the full range of needs of talented students in Information Sciences and Technology, using a common core curriculum and demanding courses designed by leading experts."
Where is COMSATS University Islamabad Attock campus located?,"It is located near Officers Colony, University Road, Attock, Pakistan."
How can I contact the university for more information?,You can call +92-57-9316330-1 or +92-57-9049158 for inquiries.
Which faculty does the Department of Computer Science belong to at CUI Attock?,"The Department of Computer Science sits squarely in the Faculty of Information Science at COMSATS University Islamabad, Attock campus."
When was the Department of Electrical Engineering at the Attock campus established?,The Department of Electrical Engineering (EE) in the Attock campus was established in 2007.
What academic programs does the Electrical Engineering department offer?,"The department offers undergraduate BEE, graduate Master of Science in Electrical Engineering, and doctoral PhD in Electrical Engineering programs."
What are the main objectives of the Electrical Engineering department?,"The EE department aims to achieve academic and research excellence through a well‑designed curriculum, strong focus on research and innovation, objective‑based learning, and strong industrial liaison."
How can I contact the university for more information?,"You can call +92-57-9316330-1 or +92-57-9049158. The campus is located near Officers Colony, University Road, Attock."
Where can I find the university's social media channels?,"The university maintains Facebook, Instagram, LinkedIn, and YouTube accounts, listed under the ""Follow Us"" section."
When was the Department of Electrical Engineering at CUI established?,The Department of Electrical Engineering was established in 2007.
What is the vision of the Department of Computer Engineering?,"The Department of Computer Engineering aims to produce professional engineering graduates, emphasizing that innovation meets excellence in education and research, and is committed to producing highly skilled graduates and postgraduates."
What are the main focus areas of the Department of Electrical Engineering?,"The Department of Electrical Engineering focuses on academic and research excellence, a well‑designed curriculum, strong emphasis on research and innovation, objective‑based learning, and strong industrial liaison."
How can I contact the university mentioned in the text?,"You can contact the university by calling +92-57-9316330-1 or +92-57-9049158, or by visiting near Officers Colony, University Road, Attock."
What business programs does the Department of Management Sciences offer?,The Department of Management Sciences offers business programs with specialization areas in Finance.
How can I get in touch with COMSATS University Islamabad Attock Campus?,"You can call +92-57-9316330-1 or +92-57-9049158, and the campus is located near Officers Colony, University Road Attock."
What undergraduate degrees are available at COMSATS University Islamabad Attock Campus?,"Undergraduate programs include BCS, BEE, BCE, BBA, and BSM."
What graduate degrees can I pursue at COMSATS University Islamabad Attock Campus?,"Graduate programs include Master of Science in Computer Science, Master of Science in Electrical Engineering, Master of Science in Computer Engineering, Master in Business Administration, and Master of Science in Mathematics."
What doctoral programs are offered at COMSATS University Islamabad Attock Campus?,"Doctoral programs include PhD in Computer Science, PhD in Electrical Engineering, PhD in Computer Engineering, PhD in Management Science, and PhD in Mathematics."
When was the Department of Mathematics at COMSATS University Islamabad Attock Campus established?,"The Department of Mathematics at COMSATS University Islamabad, Attock Campus was established in 2011."
What graduate programs does the Department of Mathematics offer and when did they start?,The department launched a 2‑year MSc Mathematics program in Fall 2011 and later inaugurated an MS Mathematics program in Fall 2012.
Where is COMSATS University Islamabad Attock Campus located?,"The campus is located near Officers Colony, University Road, Attock, Pakistan."
What are the undergraduate degree options available at COMSATS University Islamabad Attock Campus?,"Undergraduate programs include BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
How can I contact COMSATS University Islamabad Attock Campus for inquiries?,You can call +92‑57‑9316330‑1 or +92‑57‑9049158 for inquiries.
What is the mission of the Bachelor of Science in Computer Science program at CUI?,"The mission of the CS program is to provide high quality education in computer science that prepares students for professional careers and lifelong learning in developing / managing computational processes and systems, with emphasis on systems automation, information management, management of IT infrastructure and Intelligent Systems."
What are the program educational objectives for graduates of the BS Computer Science program?,The program educational objectives state that within a few years of graduation the graduates will demonstrate a sound understanding of the main areas of the body of knowledge and the theories of computer science.
Which undergraduate degree programs are offered according to the CUI website?,"The undergraduate degree programs listed are Bachelor of Computer Science (BCS), Bachelor of Electrical Engineering (BEE), Bachelor of Computer Engineering (BCE), Bachelor of Business Administration (BBA), and Bachelor of Science in Management (BSM)."
"What are the contact phone numbers for the CUI campus near Officers Colony, University Road Attock?",The contact phone numbers are +92-57-9316330-1 and +92-57-9049158.
When was the Bachelor of Science in Electrical Engineering program at COMSATS University launched?,The Bachelor of Science in Electrical Engineering (BSEE) program started in Fall 2007.
What specializations does the Electrical Engineering program at COMSATS University offer?,"The program provides specialization in Power, Telecommunications, Electronics, Computer and Controls."
What are the main objectives of the BSEE program according to the university description?,"The program aims to nurture graduates to be competent in professional practice, fulfill the technological needs of society ethically, morally, and socially responsibly, and train students to communicate effectively and demonstrate management skills."
How can I contact COMSATS University for more information?,"You can call +92-57-9316330-1 or +92-57-9049158, or visit the campus near Officers Colony, University Road Attock."
What are the entry requirements for the Bachelor of Science in Computer Engineering at CUI Attock?,"The program requires Intermediate or equivalent with Physics, Mathematics, and Chemistry and at least 60% marks, or a DAE in the same engineering discipline with at least 60% marks from an accredited institution, plus a valid NTS test score as per CUI policy."
How long does it take to complete the BS in Computer Engineering program?,The degree can be completed in a minimum of 8 semesters (4 years) and a maximum of 12 semesters (6 years).
How many credit hours are required for the BS in Computer Engineering degree?,A minimum of 135 credit hours are required.
When and where is the Bachelor of Science in Computer Engineering offered?,The program is offered in the Fall semester at the Attock campus.
What is the mission statement of the Bachelor of Science in Business Administration program at CUI?,The mission is to inculcate the understanding of business fundamentals in undergraduate students so they can capitalize and later specialize in growing areas of Business Administration.
What emphasis does the BS(BA) program place on student development?,The program emphasizes grooming the personality of students and sharpening their communication skills while providing a rigorous insight into business administration from both holistic and methodological perspectives.
Where is the CUI campus located in Attock?,"The campus is near Officers Colony, University Road, Attock."
What contact phone numbers are listed for CUI?,The listed phone numbers are +92-57-9316330-1 and +92-57-9049158.
What are the phone numbers I can call to contact the university?,You can reach the university at +92-57-9316330-1 or +92-57-9049158.
Where is the university campus located according to the provided information?,"The campus is located near Officers Colony, University Road Attock."
Which undergraduate degree programs are listed on the website?,"The undergraduate programs listed are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
What is the mission statement of the Bachelor of Science in Mathematics program?,"The mission of the BS in Mathematics program is to make students capable of conducting research and possessing appropriate, cogent, and tangible knowledge in Mathematics, preparing graduates with enhanced skills, knowledge, and attributes needed for successful careers and professional accomplishments after graduation, enabling them to use mathematical tools and language to understand the physical world."
What is the mission of the Master of Science in Computer Science program at CUI?,The mission is to inculcate a research culture in students and cope with the growing trends of research in computer science. The program enables students to undertake research by understanding the theoretical foundation of computer science coupled with knowledge of the latest trends in the domain.
What are the program objectives of the MS in Computer Science at CUI?,The program objectives are to provide a detailed study of the theoretical foundation of computer science courses and to enable students to undertake research in the field of computer science.
Which sub‑domains of computer science are highlighted in the MS program description?,"The description mentions Computer Networks, Software Engineering, Databases, Distributed Computing, and Machin."
How can I contact CUI for more information about admissions?,You can call the provided numbers: +92-57-9316330-1 or +92-57-9049158.
What are the contact phone numbers for the university?,The contact phone numbers are +92-57-9316330-1 and +92-57-9049158.
Where is the university campus located?,"The campus is located near Officers Colony, University Road, Attock, Pakistan."
Which graduate programs are offered in the Department of Electrical Engineering?,The Department of Electrical Engineering offers a Master of Science in Electrical Engineering and a PhD in Electrical Engineering.
What opportunities does the Master of Science in Electrical Engineering program provide?,"The MS in Electrical Engineering provides a comprehensive and advanced curriculum, opportunities to work on cutting‑edge research projects, and hands‑on experience with emerging technologies."
On which social media platforms can I follow the university?,"You can follow the university on Facebook, Instagram, LinkedIn, and YouTube."
What specializations are available in the Master of Science in Computer Engineering program?,"The MS in Computer Engineering offers specializations in Communication Systems, Embedded Systems, Image and Signal Processing, Machine Learning and Artificial Intelligence, Computer and Wireless Networks, and Control Systems."
How many credit hours are required for the core courses in the MS Computer Engineering program?,Core courses require 1 to 4 courses totaling 3 to 12 credit hours.
What are the elective credit requirements for the MS Computer Engineering program?,"Area elective courses require 4 to 7 courses totaling 12 to 21 credit hours, and students may also take open or cross‑area elective courses from approved courses."
Which departments are listed under the Academics section of the university?,"The listed departments are Computer Science, Electrical Engineering, Computer Engineering, Management Sciences, and Mathematics."
What phone numbers are provided for contacting the university?,The contact phone numbers are +92-57-9316330-1 and +92-57-9049158.
How long does the Master in Business Administration program last at CUI?,The MBA program at CUI is a 1.5‑year graduate level program.
What academic background is required to enroll in the CUI MBA program?,Applicants must have a four‑year bachelor's degree in a business‑related discipline to be eligible for the MBA program.
What teaching methods are used in the CUI MBA program?,The program combines textbook learning with case‑study methodology and aims to develop both conceptual skills and personal growth.
Where is the university that offers the MBA program located?,"The university is located near Officers Colony, University Road, Attock, Pakistan."
What is the mission of the Master of Science in Mathematics program at CUI?,"The mission of the Master of Science in Mathematics programme is to prepare students for research in both pure and applied mathematics, to pursue quality in mathematics by providing an environment that supports teaching, learning and research, and to enhance students' understanding by actively involving them in research trends and applications in emerging fields."
What are the objectives of the Master of Science in Mathematics programme?,"The programme aims to impart quality education to understand basic insights and methods across various mathematical areas, to prepare students for professional careers in education and research institutions, and to synthesize formal theory into a comprehensive picture of phenomena."
Which academic departments are listed on the CUI website?,"The listed academic departments are the Department of Computer Science, Department of Electrical Engineering, Department of Computer Engineering, Department of Management Sciences, and Department of Mathematics."
How can I contact CUI by phone?,You can contact CUI at +92-57-9316330-1 or +92-57-9049158.
What doctoral degrees does CUI offer?,"CUI offers PhD programmes in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
What is the aim of the PhD Computer Science program at CUI?,The aim of the PhD Computer Science program is to produce well‑trained scientists and researchers who can contribute both in academia and research.
How is the curriculum of the PhD Computer Science program designed?,"The curriculum is designed by experts in various domains and covers theoretical foundations together with the latest technologies, providing students with research ideas and a solid theoretical background."
In what ways does the PhD Computer Science program benefit the economy of Pakistan?,"The program enables students to solve real‑world problems and contribute to scientific knowledge, which in turn supports the economy of the country."
Where can I find the contact phone numbers for the university?,The contact phone numbers listed are +92‑57‑9316330‑1 and +92‑57‑9049158.
What career paths can graduates of the PhD in Electrical Engineering program pursue?,"Graduates are well‑equipped to pursue a variety of career paths in related fields both in Pakistan and around the world, including research, industry, academia, and international positions."
What research experiences does the PhD Electrical Engineering program offer?,"The program offers opportunities to work on cutting‑edge research projects and to address real‑world problems in their research, helping students develop a professional network at national and international levels."
Which PhD programs are available at CUI?,"CUI offers PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
How can I get in touch with the university for more information?,"You can call +92‑57‑9316330‑1 or +92‑57‑9049158, or visit the campus near Officers Colony, University Road, Attock."
What does the PhD in Computer Engineering program at CUI focus on?,"The PhD in Computer Engineering program, offered by the ECE Department, provides a comprehensive and advanced curriculum with a strong focus on industry collaboration, allowing students to work on cutting‑edge research projects and gain practical experience in emerging technologies."
Which department at CUI offers the Doctor of Philosophy in Computer Engineering?,The Doctor of Philosophy (PhD) in Computer Engineering is offered by the Electrical and Computer Engineering (ECE) Department of COMSATS University Islamabad.
What are the phone numbers to contact COMSATS University Islamabad Attock campus?,You can reach the campus at +92-57-9316330-1 or +92-57-9049158.
Where is the COMSATS University Islamabad Attock campus located?,"The campus is located near Officers Colony, University Road, Attock, Pakistan."
What PhD programs are offered in Management Sciences at CUI Attock?,CUI Attock offers a PhD in Management Science (also written as Ph.D. Management Science).
What areas of specialization are available in the PhD Management Science program at CUI Attock?,"The PhD Management Science program at CUI Attock offers specializations in Management/HRM, Finance, and Marketing."
What are the objectives of the PhD Management Science program at CUI Attock?,"The program aims to improve job opportunities in academia or consultancy, allow students to change career direction, and provide fresh intellectual stimulus."
How can I contact CUI Attock for more information about its programs?,"You can reach CUI Attock at +92-57-9316330-1 or +92-57-9049158, located near Officers Colony, University Road Attock."
What PhD programs are available at the CUI Attock Campus?,"The CUI Attock Campus offers PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
Which department provides the PhD in Mathematics at CUI Attock Campus?,The PhD in Mathematics is offered by the Department of Mathematics at the CUI Attock Campus.
What research areas are covered in the PhD Mathematics program at CUI?,"The PhD Mathematics program includes research areas such as Mathematical Inequalities and Applications, Numerical Analysis, Commutative Algebra, Fluid Mechanics, and Mathematical Analysis."
Where is the CUI Attock Campus located?,"The campus is located near Officers Colony, University Road, Attock, Pakistan."
What are the contact phone numbers for the CUI Attock Campus?,The contact numbers are +92-57-9316330-1 and +92-57-9049158.
What undergraduate programs are offered at COMSATS University Islamabad Attock campus?,"The undergraduate programs listed are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
How can I contact the university office in Attock?,"You can reach the office at +92-57-9316330-1 or +92-57-9049158, and the address is Near Officers Colony, University Road Attock."
Which graduate degrees are available in the Department of Computer Engineering?,The Department of Computer Engineering offers a Master of Science in Computer Engineering and a PhD in Computer Engineering.
Where can I find the messages from the Heads of Departments?,"The messages are posted under the ""Hods"" section with dates: January 11, 2026 – Message from the Head of Department CS, January 10, 2026 – Message from the Head of Department CE, and January 9, 2026 – Message from the Head of Department EE."
When does the registration week for the Spring 2026 semester take place at CUI?,The registration week for the Spring 2026 semester runs from 26 to 30 January 2026.
What is the commencement date for classes in the Spring 2026 term?,"Classes for the Spring 2026 term commence on Monday, 2 February 2026."
What is the last day to drop courses for Spring 2026?,"The last date to drop courses for Spring 2026 is Friday, 27 February 2026."
When are the 1st and 2nd sessional examinations scheduled for Spring 2026?,"The 1st sessional examination starts on Monday, 2 March 2026, and the 2nd sessional examination starts on Monday, 6 April 2026."
Which undergraduate and graduate programs does CUI offer?,"CUI offers undergraduate programs such as BCS, BEE, BCE, BBA, and BSM. Graduate programs include Master of Science in Computer Science, Electrical Engineering, Computer Engineering, Mathematics, and a Master in Business Administration. Doctoral programs include PhDs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
What facilities does the CUI Attock campus library provide for students?,"The library at CUI Attock campus is spacious, well‑planned, and offers a calm, peaceful environment. It subscribes to a wide range of periodicals and journals, provides electronic information access, and modern services. The library includes circulation, reserve, and reference sections, internet facilities for worldwide library connections, a modern audiovisual system, and educational materials on videotapes, CDs, and DV."
How can students at CUI Attock connect with libraries around the world?,"Students can use the library's internet facilities, which allow users to connect with libraries worldwide for reference assistance and consultation."
What are the contact phone numbers for the CUI Attock campus?,The contact numbers for CUI Attock are +92-57-9316330-1 and +92-57-9049158.
Where is the CUI Attock campus located?,"The CUI Attock campus is located near Officers Colony, University Road, Attock, Pakistan."
Which undergraduate and graduate programs are offered at CUI Attock?,"CUI Attock offers undergraduate programs BCS, BEE, BCE, BBA, and BSM. Graduate programs include Master of Science in Computer Science, Electrical Engineering, Computer Engineering, Mathematics, and a Master in Business Administration."
What undergraduate degree programs does CUI offer?,"CUI offers the following undergraduate programs: BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
How can I get in touch with the university’s main office?,"You can contact the university by calling +92-57-9316330-1 or +92-57-9049158. The office is located near Officers Colony, University Road, Attock, Pakistan."
Which PhD programs are available in the engineering disciplines at CUI?,"CUI offers PhD programs in Computer Science, Electrical Engineering, and Computer Engineering."
What resources does CUI provide to support student wellbeing and campus life?,"CUI promotes student wellbeing through Student Affairs services, athletics programs, engagement and diversity initiatives, and facilities such as a mosque for spiritual growth. The campus also features residential housing, modern labs in the Engineering Block, and various support services."
What undergraduate programs does CUI offer?,"CUI offers the following undergraduate programs: BCS, BEE, BCE, BBA, and BSM."
How many laboratories are there in the Computer Science department?,"The Computer Science department has 6 Computer Labs and 2 FYP Labs, making a total of 8 labs."
How many research papers have been published by CUI?,CUI has published 1800 research papers.
What are the contact phone numbers for CUI?,You can reach CUI at +92-57-9316330-1 or +92-57-9049158.
Where is the CUI campus located in Attock?,"The CUI campus is located near Officers Colony, University Road, Attock."
What is the Admission Merit Topper Scholarship and who is eligible for it?,The Admission Merit Topper Scholarship is awarded to students who top the admission merit list of any program at COMSATS University Attock. Eligibility is limited to the student who ranks first on the admission merit list for a given program.
What benefit does the Admission Merit Topper Scholarship provide?,The scholarship covers the full tuition fee for the eligible student.
Which undergraduate programs are listed on the COMSATS University Attock website?,"The undergraduate programs mentioned are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
How can I contact the COMSATS University Attock campus?,"You can contact the campus by calling +92-57-9316330-1 or +92-57-9049158. The address is Near Officers Colony, University Road Attock, Pakistan."
What is CU-Online and who can use it?,"CU-Online is a university management system implemented by CUI Islamabad Campus that provides a one‑stop solution for departmental heads, faculty members, and students. Departmental heads and program coordinators can access consolidated performance insights for students in their departments, and all faculty members have access according to their allocated courses."
Which graduate and doctoral programs does CUI offer?,"CUI offers graduate Master of Science programs in Computer Science, Electrical Engineering, Computer Engineering, Business Administration, and Mathematics. Doctoral programs include PhD degrees in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
How can I contact CUI Islamabad Campus?,"You can reach CUI Islamabad Campus by calling +92-57-9316330-1 or +92-57-9049158. The campus is located near Officers Colony, University Road, Attock, Pakistan."
What undergraduate degrees are available at CUI?,"CUI offers the following undergraduate degrees: BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Science in Management)."
Where can I find information about admissions and eligibility criteria on the CUI website?,"Information about admissions and eligibility criteria can be found under the website sections ""How To Apply?"", ""Eligibility criteria MS"" for master's programs, and ""Eligibility Criteria BS"" for bachelor's programs."
What are the phone numbers to contact COMSATS Attock Campus?,"The campus can be reached at +92-57-9316330-1, +92-57-9049158, 057-9316330, 057-9316331, 057-9049158, and WhatsApp at +92-3155504184."
Which undergraduate programs are listed on the CUI Attock Campus website?,"The undergraduate programs mentioned are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
What graduate degrees are offered in the Department of Computer Engineering?,The Department of Computer Engineering offers a Master of Science in Computer Engineering and a PhD in Computer Engineering.
Where is the CUI Attock Campus located?,"The campus is located near Officers Colony on University Road in Attock, Pakistan."
What are the contact phone numbers for COMSATS University Islamabad Attock Campus?,The contact phone numbers are +92-57-9316330-1 and +92-57-9049158.
Which departments are listed under the Academics section of the Attock Campus?,"The departments listed are Computer Science, Electrical Engineering, Computer Engineering, Management Sciences, and Mathematics."
What graduate programs are offered at the Attock Campus?,"Graduate programs include Master of Science in Computer Science, Master of Science in Electrical Engineering, Master of Science in Computer Engineering, Master in Business Administration, and Master of Science in Mathematics."
When was the Rector's message posted on the website?,"The Rector's message was posted on December 20, 2025."
What phone numbers can I use to contact COMSATS University Islamabad Attock Campus?,You can reach the campus at +92-57-9316330-1 or +92-57-9049158.
Where is the Attock Campus of COMSATS University Islamabad located?,"The campus is located near Officers Colony, University Road, Attock, Pakistan."
Which undergraduate programs are offered at the Attock Campus?,"The undergraduate programs include BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Science in Management)."
What doctoral programs are available at COMSATS University Islamabad Attock Campus?,"Doctoral (PhD) programs are offered in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
